Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,NumVotes,Release Date,Directors
1,tt3334704,11/29/2017,11/29/2017,,Uncharted 4: A Thief's End,"https://m.media-amazon.com/images/M/MV5BMTYzYzIxMjktMDM4NS00MTM5LWJlMDgtNDRhMDNhOGRmY2EwXkEyXkFqcGdeQXVyMTk2OTAzNTI@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,9.5,,2016,"Action, Adventure, Drama, Thriller",27198,5/10/2016,"Bruce Straley, Neil Druckmann"
2,tt4044024,11/29/2017,11/29/2017,,Horizon Zero Dawn,"https://m.media-amazon.com/images/M/MV5BODZjMmYyNDktYWRjZi00MmM1LWE0ODEtZjdhOWQ2OWRhNzkwXkEyXkFqcGdeQXVyMjMyNTU1MjE@._V1_UY209_CR20,0,140,209_AL_.jpg",videoGame,9.1,,2017,"Action, Adventure, Mystery, Sci-Fi",13284,2/28/2017,Mathijs de Jonge
3,tt2370518,11/29/2017,11/29/2017,,Metal Gear Solid V: The Phantom Pain,"https://m.media-amazon.com/images/M/MV5BNjY5Y2Q2YjktNTIwYi00NGY4LTgyYTgtZDc3NzE0NGZmODNhXkEyXkFqcGdeQXVyNzU3Nzk4MDQ@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.8,,2015,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller, War",7236,9/1/2015,"Junji Tago, Hideo Kojima"
4,tt3791072,11/29/2017,11/29/2017,,Rise of the Tomb Raider,"https://m.media-amazon.com/images/M/MV5BMzc5OTU1N2ItNWUzNy00YWM2LWEwMTktZjIzZDNhMzBlNjJjXkEyXkFqcGdeQXVyNTM0MjE5NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.5,,2015,"Action, Adventure, Fantasy, Thriller",9003,11/10/2015,"Neil Huxley, Wilson Mui"
5,tt3554580,11/29/2017,11/29/2017,,Batman: Arkham Knight,"https://m.media-amazon.com/images/M/MV5BZWRjMWM0MGUtYzI2NC00MTQ4LWIyYWYtYmIwNzkwYzRjYjI1XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,9,,2015,"Action, Adventure, Crime, Fantasy, Horror, Mystery, Sci-Fi, Thriller",17918,6/23/2015,Sefton Hill
6,tt2993508,11/29/2017,11/29/2017,,Wiedzmin 3: Dziki Gon,"https://m.media-amazon.com/images/M/MV5BYjY3ODFmNWUtNjhjNC00NTExLWIxYmEtYmQ0YTk5NjkzYTUwXkEyXkFqcGdeQXVyNzEyNjcwNTk@._V1_UY209_CR0,0,140,209_AL_.jpg",videoGame,9.7,,2015,"Action, Adventure, Drama, Fantasy, Mystery, Romance",24962,5/19/2015,Konrad Tomaszkiewicz
7,tt3944082,11/29/2017,11/29/2017,,Persona 5,"https://m.media-amazon.com/images/M/MV5BYTNjNTY5N2EtZTIxNi00MmJmLTg5NmItY2JjNjlmNTdlODkwXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_UY209_CR4,0,140,209_AL_.jpg",videoGame,9.3,,2016,"Action, Adventure, Fantasy",2532,9/15/2016,Katsura Hashino
8,tt3814634,11/29/2017,11/29/2017,,Bloodborne,"https://m.media-amazon.com/images/M/MV5BZjI1YWVhZDgtZmNkOS00ZjQxLWIwNTAtY2U4ZGE4YjA4MWJkXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,9.2,,2015,"Action, Adventure, Fantasy, Horror, Sci-Fi",4995,3/24/2015,Hidetaka Miyazaki
9,tt4795016,11/29/2017,11/29/2017,,Dark Souls III,"https://m.media-amazon.com/images/M/MV5BYzJhYTgzYzYtYjdjOC00ZDYyLTg0NjYtZDEwMDlkODA3OWI4XkEyXkFqcGdeQXVyMTk2OTAzNTI@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,9.1,,2016,"Action, Adventure, Fantasy, Horror",4029,3/24/2016,"Yui Tanimura, Hidetaka Miyazaki, Isamu Okano"
10,tt3763912,11/29/2017,11/29/2017,,Dragon Age: Inquisition,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Dragon_Age_Inquisition_BoxArt.jpg/220px-Dragon_Age_Inquisition_BoxArt.jpg,videoGame,8.6,,2014,"Action, Adventure, Fantasy, Mystery",4750,11/18/2014,"Mike Laidlaw, Pierre Michel-Estival"
11,tt3612274,11/29/2017,11/29/2017,,Titanfall 2,"https://m.media-amazon.com/images/M/MV5BZWIxZjZjODUtOTUwYy00MjZmLTliMmUtNjQ2NGZiMTAxYjkyXkEyXkFqcGdeQXVyMTk2OTAzNTI@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.5,,2016,"Action, Adventure, Sci-Fi, War",3500,10/28/2016,Steve Fukuda
12,tt5724316,11/29/2017,11/29/2017,,Dishonored 2,"https://m.media-amazon.com/images/M/MV5BZDg1MzE2YmUtNDM3Yy00ODYyLWEzZDAtMzI1ZmYyNjc4NDFlXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.4,,2016,"Action, Adventure, Fantasy, Mystery, Sci-Fi, Thriller",2726,11/11/2016,"Raphael Colantonio, Harvey Smith"
13,tt5702630,11/29/2017,11/29/2017,,Battlefield 1,"https://m.media-amazon.com/images/M/MV5BMGNkY2RjYjctMDY4Ny00ZDQ3LWI1ZmYtOGMyMDIxMTk2ODJkXkEyXkFqcGdeQXVyMTk5NDI0MA@@._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,8.2,,2016,"Action, Adventure, War",6382,10/21/2016,"Tom Keegan, Marcus Kryler, Stefan Strandberg, Fredrik Åkerström, Lars Gustavsson"
14,tt5238626,11/29/2017,11/29/2017,,NieR: Automata,"https://m.media-amazon.com/images/M/MV5BYzcxMmE2NjItNDc0ZS00NmY3LTk0ZDAtZGJmMDBmMzYyZDczXkEyXkFqcGdeQXVyMzM2MzI5MzU@._V1_UY209_CR4,0,140,209_AL_.jpg",videoGame,8.8,,2017,"Action, Adventure, Drama, Fantasy, Sci-Fi",2723,2/23/2017,Yoko Taro
15,tt5818106,11/29/2017,11/29/2017,,Nioh,"https://m.media-amazon.com/images/M/MV5BOTQ4OWM3ODctMDAxNi00N2IyLTg3MGMtYmFlN2U1M2M4ODVhXkEyXkFqcGdeQXVyNDAzNzA0MzE@._V1_UY209_CR0,0,140,209_AL_.jpg",videoGame,7.9,,2017,"Action, Adventure, Fantasy, History",1032,2/7/2017,"Shinji Higuchi, Fumihiko Yasuda, Makoto Kamiya, Yosuke Hayashi"
16,tt7006358,11/29/2017,11/29/2017,,Wolfenstein II: The New Colossus,"https://m.media-amazon.com/images/M/MV5BN2U4MTQxYTctYTExYy00NGYxLWJhMzItZDlkNWMwOGEyODk4XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",videoGame,7.9,,2017,"Action, Adventure, Drama, Sci-Fi, War",4522,10/27/2017,"Jens Matthies, Fredrik Ljungdahl, Tom Keegan"
17,tt3382518,11/29/2017,11/29/2017,,Wolfenstein: The New Order,"https://m.media-amazon.com/images/M/MV5BNTU5MTczMjUtNDVhYy00NTkwLTg0MjYtY2FiMTBkNzIzYzFlXkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_UY209_CR1,0,140,209_AL_.jpg",videoGame,8.3,,2014,"Action, Adventure, Drama, Sci-Fi, War",5365,5/20/2014,Jens Matthies
